Deposco Configuration Task List,,,,,,,,,,8/12/2025,
Product / Task Group,Task,Task Details,"Out of Scope 
(SOW001)",Phase 2 Item,Comments,Owner,Status,% Complete,Locked,Due date,Delivery Date
CO Workbench,CO workbench Application settings,,FALSE,FALSE,,DEP & OMNI,Not assigned yet,0%,TRUE,,
CO Workbench,Shipping rate lookup values DE template and Field mapping for CO Workbench,,FALSE,FALSE,,Deposco,Complete,100%,FALSE,,
CO Workbench,Shipping rate lookup values upload per BU,This will be used to display the applicable shipping services per BU,FALSE,FALSE,,Omnipress,To-Do,0%,FALSE,,
CO Workbench,Page layout,,FALSE,FALSE,,DEP & OMNI,Not assigned yet,0%,TRUE,,
Co-preprocessing,Configure rules to prevent order updates,,FALSE,FALSE,,Deposco,Not assigned yet,0%,TRUE,,
Bright Socket Configuration (T&M),,,,,,,,,,,
Shopify,Shopify instances Setup,,FALSE,FALSE,,Omnipress,In Progress,50%,FALSE,,
WooCommerce,WooCommerce instances Setup,,FALSE,FALSE,,Omnipress,In Progress,11.11%,FALSE,,
Magento,Magento intances Setup,,FALSE,FALSE,,Omnipress,In Progress,50.00%,FALSE,,
Shopify,Shopify instances touchpoint config and testing,,FALSE,FALSE,,DEP & OMNI,To-Do,0%,TRUE,,
WooCommerce,WooCommerce instances touchpoint config and testing,,FALSE,FALSE,,DEP & OMNI,To-Do,0%,TRUE,,
Magento,Magento intances touchpoint config and testing,,FALSE,FALSE,,DEP & OMNI,To-Do,0%,TRUE,,
UPS,Initial UPS account Setup,,FALSE,FALSE,,Omnipress,Complete,100%,FALSE,Jul 25,
USPS,Initial USPS account Setup,,FALSE,FALSE,,Omnipress,Complete,100%,FALSE,,
R+L,Initial R+L account Setup,,FALSE,FALSE,,Omnipress,Complete,100%,FALSE,,
Shipping Carriers,Enable/disable applicable shipping services per carrier,,FALSE,FALSE,,Omnipress,Complete,100%,FALSE,,
Shipping Carriers,Shipping options,,FALSE,FALSE,,DEP & OMNI,Not assigned yet,0%,TRUE,,
Shipping Carriers,International shipping validation,,FALSE,FALSE,,DEP & OMNI,Not assigned yet,0%,TRUE,,
Shipping Carriers,Configure ship from information on label,Shipping options or tradingPartner.useShipFromForShipments,FALSE,FALSE,,DEP & OMNI,Not assigned yet,0%,TRUE,,
Shipping Carriers,Ship Via translations,Cross references,FALSE,FALSE,,Omnipress,Not assigned yet,0%,TRUE,,
Sockets,Validate shipnotice ATP query to consider facility and kit components,,FALSE,FALSE,,Deposco,Not assigned yet,0%,TRUE,,
Salesforce,Configuration for billing data export file,,FALSE,FALSE,,DEP & OMNI,Not assigned yet,0%,TRUE,,
Other,Custom integrations to pull orders (23 customers),,FALSE,FALSE,,,,,FALSE,,
Bright Performance Configuration (T&M),,,,,,,,,,,
Global Reports,Create branded shipping label report,,FALSE,FALSE,,Deposco,Not assigned yet,0%,TRUE,,
Global Reports,Generic Packing slip,,FALSE,FALSE,,Deposco,Not assigned yet,0%,TRUE,,
Company Reports/Report Builder,Company reports setup,,FALSE,FALSE,,DEP & OMNI,Not assigned yet,0%,TRUE,,
Report Scheduling,Report scheduling setup,,FALSE,FALSE,,Omnipress,Not assigned yet,0%,TRUE,,
Dashboards,Dashboards setup,,FALSE,FALSE,,DEP & OMNI,Not assigned yet,0%,TRUE,,
Client Portal,Dashboards setup,,FALSE,FALSE,,DEP & OMNI,Not assigned yet,0%,TRUE,,
Client Portal,User setup,,FALSE,FALSE,,Omnipress,Not assigned yet,0%,TRUE,,
Phase 2 Items,,,,,,,,,,,
Integrations,API integrations to retrieve billing data for Salesforce,,TRUE,TRUE,,DEP & OMNI,,0%,,,
Packing,Cartonization at packing (cubed packing process),,FALSE,FALSE,,Deposco,Not assigned yet,0%,,,
,,,FALSE,FALSE,,,,,,,
,,,FALSE,FALSE,,,,,,,
,,,FALSE,FALSE,,,,,,,
